epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,988.992,0.47313,0.38495,0.00281,0.9405,0.94095,0.95855,0.89371,0.44963,0.32941,0.00315,0.000902652,0.000902652,0.000902652
88,1000.22,0.46179,0.36958,0.00277,0.94123,0.94122,0.96032,0.90227,0.41659,0.32087,0.00311,0.00089812,0.00089812,0.00089812
89,1011.53,0.47251,0.37672,0.00281,0.94453,0.9337,0.95995,0.88384,0.47692,0.33942,0.00349,0.000893551,0.000893551,0.000893551
90,1022.76,0.46629,0.37599,0.00268,0.94554,0.94251,0.96071,0.89973,0.43706,0.32428,0.00309,0.000888946,0.000888946,0.000888946
91,1034.27,0.45751,0.37219,0.00275,0.94436,0.94169,0.96012,0.90004,0.43394,0.33528,0.003,0.000884305,0.000884305,0.000884305
92,1045.84,0.45782,0.36882,0.0026,0.94345,0.94512,0.96148,0.89649,0.44154,0.32641,0.00323,0.000879628,0.000879628,0.000879628
93,1057.16,0.46836,0.36874,0.00276,0.9398,0.93592,0.96137,0.89329,0.45368,0.33337,0.00324,0.000874916,0.000874916,0.000874916
94,1068.35,0.46314,0.38054,0.00277,0.93742,0.94225,0.96088,0.89089,0.43854,0.3278,0.00319,0.00087017,0.00087017,0.00087017
95,1079.76,0.45748,0.37434,0.00267,0.93367,0.92517,0.96065,0.9046,0.41693,0.33648,0.00286,0.00086539,0.00086539,0.00086539
96,1091.18,0.44883,0.35445,0.00262,0.94415,0.94406,0.96105,0.90412,0.4197,0.32217,0.00305,0.000860577,0.000860577,0.000860577
97,1102.55,0.45442,0.36781,0.00265,0.93996,0.93765,0.95949,0.90142,0.42303,0.32691,0.00295,0.00085573,0.00085573,0.00085573
98,1114.13,0.46244,0.37169,0.00276,0.94742,0.9397,0.96125,0.88428,0.44507,0.32939,0.00339,0.000850852,0.000850852,0.000850852
99,1125.39,0.46478,0.37466,0.00272,0.93012,0.93714,0.96248,0.89438,0.43228,0.32921,0.00306,0.000845941,0.000845941,0.000845941
100,1136.87,0.46508,0.37324,0.00274,0.9432,0.94349,0.96082,0.90133,0.42926,0.31906,0.00298,0.000841,0.000841,0.000841
101,1148.3,0.44615,0.3647,0.00251,0.94367,0.94312,0.96196,0.89734,0.43735,0.32507,0.00306,0.000836027,0.000836027,0.000836027
102,1159.57,0.44683,0.36008,0.00254,0.94311,0.93344,0.96257,0.8876,0.43922,0.32572,0.00323,0.000831025,0.000831025,0.000831025
103,1170.79,0.45221,0.36825,0.00268,0.93761,0.93494,0.95946,0.90332,0.41129,0.32098,0.00295,0.000825993,0.000825993,0.000825993
104,1182.09,0.46209,0.37072,0.00269,0.94441,0.94079,0.96169,0.90445,0.41209,0.32205,0.00292,0.000820932,0.000820932,0.000820932
105,1193.34,0.45009,0.37507,0.00266,0.94172,0.94062,0.9605,0.90258,0.41356,0.32271,0.00295,0.000815842,0.000815842,0.000815842
106,1204.7,0.45167,0.37491,0.00268,0.93313,0.93374,0.96008,0.90038,0.43248,0.32384,0.00303,0.000810725,0.000810725,0.000810725
107,1216.2,0.45067,0.36735,0.00274,0.94183,0.94405,0.96169,0.90749,0.4073,0.31762,0.0029,0.00080558,0.00080558,0.00080558
108,1227.97,0.44857,0.36885,0.00263,0.94505,0.94239,0.96189,0.90028,0.43487,0.32239,0.00302,0.000800408,0.000800408,0.000800408
109,1239.36,0.4517,0.36238,0.00263,0.94125,0.92604,0.96095,0.90159,0.42448,0.3238,0.00298,0.00079521,0.00079521,0.00079521
110,1250.55,0.44938,0.36535,0.00265,0.94819,0.9406,0.96192,0.8932,0.45191,0.32994,0.00308,0.000789987,0.000789987,0.000789987
111,1261.83,0.44675,0.36856,0.00267,0.94473,0.94054,0.9598,0.90333,0.42153,0.32857,0.00306,0.000784738,0.000784738,0.000784738
112,1273.3,0.45846,0.36719,0.00268,0.94002,0.93757,0.96104,0.89573,0.46037,0.32773,0.00342,0.000779464,0.000779464,0.000779464
113,1284.7,0.45191,0.35723,0.00262,0.94098,0.94105,0.96141,0.8992,0.44333,0.31823,0.00306,0.000774167,0.000774167,0.000774167
114,1295.99,0.45098,0.36803,0.00263,0.94822,0.94295,0.9614,0.89862,0.42246,0.31855,0.00299,0.000768847,0.000768847,0.000768847
115,1307.76,0.44886,0.35589,0.00252,0.94244,0.94219,0.96201,0.90511,0.42685,0.3195,0.00306,0.000763503,0.000763503,0.000763503
116,1318.98,0.43863,0.35672,0.00256,0.94387,0.94078,0.96268,0.90096,0.42528,0.31338,0.00299,0.000758138,0.000758138,0.000758138
117,1330.26,0.44023,0.36313,0.00248,0.94338,0.94436,0.96011,0.90435,0.41609,0.31329,0.00301,0.00075275,0.00075275,0.00075275
118,1341.57,0.43726,0.3604,0.00252,0.94795,0.94383,0.96176,0.90421,0.42133,0.31549,0.00294,0.000747342,0.000747342,0.000747342
119,1352.88,0.44158,0.36104,0.00259,0.94397,0.93861,0.95925,0.89857,0.41225,0.32645,0.00279,0.000741914,0.000741914,0.000741914
120,1364.03,0.43003,0.34896,0.00254,0.9442,0.93982,0.95979,0.89522,0.43189,0.33208,0.003,0.000736465,0.000736465,0.000736465
121,1375.33,0.4437,0.3707,0.0026,0.94242,0.94406,0.96195,0.90302,0.41907,0.32046,0.00298,0.000730997,0.000730997,0.000730997
122,1386.67,0.44998,0.35931,0.00258,0.93947,0.94547,0.96184,0.89972,0.42106,0.31627,0.00306,0.000725511,0.000725511,0.000725511
123,1398.01,0.4441,0.36688,0.00262,0.93036,0.93618,0.9594,0.89613,0.43311,0.33032,0.00305,0.000720007,0.000720007,0.000720007
